genre_id,genre_name,books_count
1216,Энциклопедии,85
1217,Современная-проза,2429
1218,Историческая-проза,383
1219,Книги-о-войне,272
1220,Контркультура,70
1222,Современная-русская-литература,1745
1223,Ужасы-мистика,1317
1224,Мистика,576
1225,Ужасы,259
1226,Фантастика,473
1228,Героическая-фантастика,169
1229,Детективная-фантастика,108
1231,Историческая-фантастика,116
1232,Киберпанк,83
1233,Космическая-фантастика,321
1235,Научная-фантастика,688
1236,Попаданцы,148
1237,Социальная-фантастика,249
1238,Стимпанк,55
1239,Юмористическая-фантастика,82
1240,Фэнтези,893
1241,Боевое-фэнтези,203
1242,Героическое-фэнтези,554
1243,Городское-фэнтези,357
1244,Детективное-фэнтези,121
1246,Историческое-фэнтези,103
1247,Книги-про-вампиров,295
1248,Книги-про-волшебников,194
1249,Романтическое-фэнтези,1038
1251,Отечественное-фэнтези,2472
1252,Фэнтези-про-драконов,80
1253,Эротическое-фэнтези,18
1254,Юмористическое-фэнтези,306
1255,Эзотерика,514
1256,Астрология,35
1257,Гадание-толкование-снов,36
1259,Йога,120
1260,Магия-колдовство,55
1261,Парапсихология,17
1262,Практическая-эзотерика,126
1263,Современные-религиозные-течения,25
1264,Спиритизм-пророчества-и-предсказания,49
1265,Таинственные-явления,40
1266,Тайные-общества,9
1267,Фэн-шуй,4
1268,Эзотерика-оккультизм,217
1269,Эротика-и-секс,43
1270,Сексуальные-руководства,44
1272,Эротическая-литература,87
1273,Эротические-рассказы-и-истории,13
1276,Юмористическая-литература,84
1277,Анекдоты,32
1279,Юмор-и-сатира,70
1280,Юмористическая-проза,325
1282,Учебная-литература,15
1284,Русская-литература,252
1306,Отечественные-любовные-романы,259
1308,Историческая-отечественная-проза,1
1309,Отечественные-детективы,295
1310,Отечественный-мужской-детектив,171
1311,Отечественный-женский-детектив,364
1312,Современный-отечественный-детектив,78
1313,Классический-отечественный-детектив,35
1314,Отечественная-фантастика,1452
1315,Отечественный-боевик,30
1316,Отечественная-поэзия,235
1317,Отечественная-драматургия,240
1318,Русская-литература-для-детей,922
1319,Сказки-отечественных-писателей,238
1321,Отечественная-поэзия-для-детей,58
1322,Русская-классика-для-детей,111
1323,Отечественные-мемуары,53
1324,Отечественный-юмор-и-сатира,32
1325,Индуизм,14
1326,Исторический-роман,406
1327,Магический-реализм,140
1328,Космонавтика,6
1330,ЛитРПГ,85
1333,Реализм,245
1336,Темное-фэнтези,57
1342,Артбуки,2
1345,Альтернативная-история,5
1352,Мифологическое-фэнтези,5
1360,Антиутопия,7
1363,Манга,20
1366,Манхва,1
1372,Комиксы,3
1375,Графические-романы,1
1381,Маньхуа,1
1384,Психологический-роман,6
1388,Славянское-фэнтези,4
1391,Ориентальное-фэнтези,3
